Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
22:11:00,Friday,18-30,Male,High school,Employee,2-5yr,Motorcycle,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,22
12:40:00,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,Below 1yr,No defect,Outside rural areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,Under 18,2,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Serious Injury,12
16:58:00,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,16
13:50:00,Sunday,31-50,Male,Elementary school,Owner,5-10yr,Public (12 seats),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Serious Injury,13
8:55:00,Thursday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury,8
8:05:00,Friday,31-50,Male,Above high school,Employee,2-5yr,Other,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,4,Overtaking,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,8
0:18:00,Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury,0
8:55:00,Thursday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Gravel roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,8
14:50:00,Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury,14
12:16:00,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,12
15:42:00,Friday,31-50,Male,Above high school,Owner,2-5yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving at high speed,Slight Injury,15
16:45:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,31-50,2,Other,Normal,Unknown or other,Getting off the vehicle improperly,Slight Injury,16
14:55:00,Tuesday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Other,Slight Injury,14
12:20:00,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,12
13:35:00,Friday,Over 51,Male,Junior high school,Employee,5-10yr,Taxi,Owner,1-2yr,No defect,Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,13
17:30:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overturning,Serious Injury,17
13:55:00,Sunday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,4,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,13
13:43:00,Monday,Over 51,Male,Elementary school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Passenger,Female,Over 51,2,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,13
17:16:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,17
19:50:00,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,19
15:50:00,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Other,Slight Injury,15
18:23:00,Saturday,Under 18,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Unknown,No defect,Church areas,One way,Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,2,Other,Normal,Crossing from driver's nearside,Driving under the influence of drugs,Slight Injury,18
20:25:00,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,20
16:50:00,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury,16
14:23:00,Wednesday,31-50,Male,Junior high school,Owner,Above 10yr,Long lorry,Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,14
17:10:00,Thursday,31-50,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Serious Injury,17
16:00:00,Friday,31-50,Male,Junior high school,Owner,Below 1yr,Motorcycle,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Pedestrian,Female,18-30,3,Employee,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,16
17:30:00,Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Other,Owner,2-5yrs,No defect,Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury,17
16:30:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,16
3:32:00,Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,2-5yrs,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Moving Backward,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward,Fatal injury,3
14:30:00,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,14
10:30:00,Monday,Unknown,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,2,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,10
6:26:00,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Unknown,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,3,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,6
15:10:00,Saturday,Unknown,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,15
10:10:00,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,10
15:30:00,Friday,31-50,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,15
20:00:00,Friday,31-50,Male,Junior high school,Owner,5-10yr,Other,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,20
12:48:00,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Reversing,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury,12
18:17:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Motorcycle,Owner,5-10yrs,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,18
14:43:00,Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Moving Backward,Pedestrian,Female,31-50,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,14
13:05:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Reversing,Passenger,Female,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury,13
16:12:00,Saturday,Over 51,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,2,Other,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury,16
17:50:00,Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,17
16:02:00,Sunday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Female,5,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury,16
20:30:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,4,6,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury,20
8:00:00,Tuesday,31-50,Male,Junior high school,Employee,1-2yr,Public (12 seats),Governmental,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Passenger,Female,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,8
3:00:00,Saturday,Over 51,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,5-10yrs,No defect,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Turnover,na,na,na,na,Driver,Deaf,Not a Pedestrian,Driving to the left,Slight Injury,3
17:10:00,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving at high speed,Serious Injury,17
9:45:00,Monday,Over 51,Male,Elementary school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Collision with roadside objects,2,1,Other,Pedestrian,Male,Over 51,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury,9
20:50:00,Monday,31-50,Male,Elementary school,Employee,5-10yr,Long lorry,Owner,5-10yrs,No defect,Church areas,Unknown,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Passenger,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,20
20:41:00,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,No defect,Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,20
17:55:00,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Below 1yr,No defect,Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury,17
7:55:00,Monday,31-50,Male,Junior high school,Employee,Below 1yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,2,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,7
13:03:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Unknown,Normal,Not a Pedestrian,Moving Backward,Slight Injury,13
22:45:00,Monday,18-30,Female,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Turnover,na,na,na,na,Other,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,22
16:55:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Above 10yr,No defect,Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Passenger,Female,18-30,3,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury,16
0:25:00,Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Wet or damp,Darkness - lights lit,Unknown,Vehicle with vehicle collision,1,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury,0
10:41:00,Wednesday,31-50,Male,High school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Other,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,10
17:25:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,1,1,Other,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward,Serious Injury,17
3:10:00,Friday,31-50,Male,High school,Owner,1-2yr,Ridden horse,Owner,Unknown,No defect,Recreational areas,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,2,Driver,Normal,Unknown or other,No distancing,Serious Injury,3
17:45:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,17
14:20:00,Sunday,31-50,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,14
