Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Recommendation
23:30:00,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Turnover,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,23,Increase lighting & patrol
19:32:00,Friday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury,19,Normal
11:24:00,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Moving Backward,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,11,Normal
9:12:00,Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,9,Normal
12:10:00,Thursday,18-30,Male,Junior high school,Owner,2-5yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,12,Normal
2:00:00,Friday,Unknown,Female,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury,2,Increase lighting & patrol
5:55:00,Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Governmental,Unknown,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,2,Moving Backward,Pedestrian,Male,18-30,3,Driver,Normal,Unknown or other,No priority to vehicle,Slight Injury,5,Increase lighting & patrol
15:00:00,Monday,Unknown,Male,High school,Employee,Above 10yr,Other,Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Passenger,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,15,Normal
15:40:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,15,Normal
16:30:00,Monday,Unknown,Male,High school,Owner,1-2yr,Other,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,16,Normal
8:50:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,Above 10yr,No defect,Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,8,Normal
14:04:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Above 10yr,No defect,Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,14,Normal
12:30:00,Wednesday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,12,Normal
21:30:00,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Stationwagen,Governmental,2-5yrs,No defect,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,2,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,21,Increase lighting & patrol
1:06:00,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,No defect,Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury,1,Increase lighting & patrol
10:25:00,Saturday,18-30,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,10,Normal
19:00:00,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Bicycle,Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Turnover,Pedestrian,Male,31-50,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,19,Normal
9:40:00,Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,9,Normal
7:30:00,Wednesday,Over 51,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,7,Normal
12:37:00,Friday,18-30,Male,Junior high school,Employee,5-10yr,Taxi,Owner,Unknown,No defect,Outside rural areas,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Serious Injury,12,Normal
17:00:00,Wednesday,31-50,Male,Junior high school,Employee,No Licence,Automobile,Owner,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Other,Serious Injury,17,Normal
6:11:00,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Below 1yr,No defect,Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Other,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,6,Normal
16:57:00,Friday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Overtaking,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,16,Normal
19:00:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,5-10yrs,7,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,Driver,Normal,Not a Pedestrian,Overspeed,Slight Injury,19,Normal
17:25:00,Friday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Other,Serious Injury,17,Normal
16:51:00,Thursday,31-50,Male,High school,Employee,Above 10yr,Other,Owner,1-2yr,No defect,School areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Employee,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,16,Normal
18:00:00,Thursday,Unknown,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,18,Normal
12:53:00,Sunday,31-50,Male,Writing & reading,Employee,5-10yr,Motorcycle,Owner,Above 10yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,12,Normal
8:35:00,Saturday,Over 51,Male,Elementary school,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,8,Normal
8:55:00,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,Unknown,No defect,Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,8,Normal
13:28:00,Saturday,Unknown,Male,Junior high school,Owner,1-2yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury,13,Normal
17:20:00,Tuesday,31-50,Male,Elementary school,Owner,5-10yr,Automobile,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury,17,Normal
21:30:00,Sunday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Other,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,21,Increase lighting & patrol
15:00:00,Sunday,31-50,Male,Junior high school,Owner,Below 1yr,Taxi,Owner,Unknown,No defect,Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,15,Normal
20:11:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,20,Increase lighting & patrol
20:30:00,Monday,Unknown,Male,Unknown,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,20,Increase lighting & patrol
16:15:00,Thursday,31-50,Male,Above high school,Owner,2-5yr,Lorry (41?100Q),Governmental,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury,16,Normal
8:49:00,Wednesday,Under 18,Male,Elementary school,Employee,5-10yr,Stationwagen,Owner,5-10yrs,5,Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,8,Normal
10:35:00,Friday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,Unknown,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,10,Normal
8:40:00,Thursday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Rural village areasOffice areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Other,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,8,Normal
16:00:00,Tuesday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,2,Going straight,Driver or rider,Female,18-30,3,Other,Normal,Not a Pedestrian,No distancing,Slight Injury,16,Normal
11:40:00,Sunday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,11,Normal
19:11:00,Friday,Unknown,Female,High school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,19,Normal
17:21:00,Friday,Over 51,Male,Junior high school,Owner,5-10yr,Lorry (11?40Q),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Student,Normal,Not a Pedestrian,No distancing,Slight Injury,17,Normal
21:40:00,Wednesday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Female,Over 51,3,Other,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,21,Increase lighting & patrol
9:00:00,Friday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Below 1yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Unknown,Slight Injury,9,Normal
19:48:00,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Unknown,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury,19,Normal
11:50:00,Friday,Over 51,Male,Junior high school,Employee,2-5yr,Other,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury,11,Normal
13:49:00,Monday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,13,Normal
18:07:00,Tuesday,Unknown,Male,Junior high school,Employee,Above 10yr,Turbo,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Passenger,Female,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,18,Normal
21:34:00,Sunday,Unknown,Female,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury,21,Increase lighting & patrol
19:40:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,19,Normal
7:40:00,Wednesday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Overtaking,Driver or rider,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,7,Normal
11:00:00,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Governmental,Below 1yr,No defect,Residential areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury,11,Normal
7:55:00,Thursday,31-50,Male,High school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,7,Normal
17:40:00,Wednesday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,17,Normal
14:57:00,Friday,31-50,Unknown,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury,14,Normal
7:24:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,1-2yr,No defect,Industrial areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Other,Slight Injury,7,Normal
